"","partition1","partition2","pearson","kendall","num_common","partition1_size","partition2_size"
"1",1,1,0.955324582305513,0.731499542654368,1044,1045,1044
"2",1,6,NA,NA,1,1045,165
"3",2,3,-0.98506360463795,-0.834280956801576,880,881,881
"4",2,5,NA,NA,1,881,222
"5",3,2,-0.945861090011181,-0.725662853694355,1190,1192,1190
"6",3,3,NA,NA,1,1192,881
"7",3,5,NA,NA,1,1192,222
"8",4,4,0.992597531752507,0.918559086997005,357,357,357
"9",5,5,0.974883270145126,0.805413714886438,220,220,222
"10",6,6,0.935530362156978,0.850899839709595,164,164,165
"11",7,7,0.988382363927108,0.85725790096886,87,87,88
"12",8,8,0.772038870702148,0.548787271024667,74,74,74
"13",9,9,0.992924503915599,0.791407701349855,60,60,60
"14",10,7,NA,NA,1,32,88
"15",10,10,0.349672362103739,0.376216436065184,31,32,31
